"Site","X","Y","sector","Sediment1","Sediment2","AlgaeCover","Abratenn","Amphsqua","Anaimuco","Aphemari","Apselatr","Arenmari","Capicapi","Caulzetl","Ceraedul","Chaechri","Chironmd","Coroaren","Corovolu","Cyatcari","Desdorna","Elmimode","Eteolong","Hedidive","Hydrulva","Macobalt","Melipalm","Melipalm.1","Micrgrll","Micrmacu","Myaaren","Neanvire","Nephhomb","Notolate","Ostrsp","Polycorn","Pygoeleg","Retuobtu","Rudiphil","Scolarmi","Scroplan","Streshru","Tubibene","Tubipseu","Tubisp","Urotbrev"
1,394598,87489,"DP019",1,1,1,25,0,0,0,0,0,0,0,0,0,0,0,51,535,0,0,178,1171,204,0,25,0,0,0,0,0,0,0,102,25,0,0,0,0,0,229,0,764,0,0
2,394550,88048,"DP019",1,1,0,0,0,0,229,0,0,0,0,0,0,0,0,25,102,25,0,0,891,0,0,0,0,0,0,0,0,280,0,25,0,0,0,0,0,0,25,25,25,0,0
3,394435,88459,"DP019",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,51,1019,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,127,153,127,0,0
4,394932,87593,"DP019",1,1,0,0,0,0,204,0,0,0,0,0,0,0,866,7639,306,611,0,204,1044,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,127,0,25,0,0
5,395021,87989,"DP019",1,1,0,0,0,0,25,0,0,0,0,0,0,0,0,51,917,127,0,51,815,764,25,0,0,0,0,0,0,0,0,382,178,0,0,0,0,484,178,0,4940,0,0
6,394930,88485,"DP018",1,1,0,0,0,0,1630,0,0,0,0,51,0,0,0,25,153,0,0,76,1146,229,25,0,0,0,0,153,0,25,0,458,0,0,0,0,0,25,0,0,306,0,0
7,395169,89036,"DP018",1,1,0,0,0,0,509,0,0,0,0,25,0,0,0,0,51,0,0,51,789,25,0,0,0,0,0,178,0,25,0,0,0,0,0,0,0,0,25,0,0,76,0
8,395006,89481,"DP018",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1859,0,0,0,0,1273,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,280,0,0,0
9,395532,87664,"DP017",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2878,25,0,0,0,331,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0
10,395502,87983,"DP017",1,1,0,0,0,0,3234,0,0,0,0,51,0,0,25,153,713,25,0,204,1426,280,0,0,0,0,0,76,0,0,0,0,127,0,0,25,0,178,153,306,4609,0,0
11,395492,88515,"DP017",1,1,2,51,0,0,11179,0,0,0,0,25,0,0,0,25,153,0,0,51,2368,51,51,0,0,0,0,102,0,0,0,76,102,25,0,0,0,0,0,153,0,0,0
12,395510,89059,"DP018",1,1,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,255,25,0,0,0,0,0,102,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0
13,395521,89544,"DP018",1,1,10,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1477,1019,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,25,0,51,0,0,0
14,395516,90035,"DP015",1,1,1,509,0,0,586,0,1146,0,0,51,0,0,0,0,0,25,0,0,2292,3132,25,0,25,0,0,25,0,0,0,51,76,0,0,0,0,102,0,0,153,0,0
15,395494,90494,"DP015",1,1,90,0,0,0,331,0,0,0,0,0,0,0,0,0,0,25,0,25,2852,433,25,0,509,0,0,0,0,0,0,25,0,0,0,76,0,0,102,102,76,0,0
16,396086,88629,"DP017",1,1,1,0,0,0,1961,0,0,0,0,0,0,0,0,25,76,0,0,76,688,25,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
17,395991,89570,"DP018",1,1,0,0,0,0,280,0,0,0,0,51,0,0,0,0,0,0,4889,25,1833,153,25,0,102,0,0,0,25,25,0,0,76,0,0,255,0,51,0,815,229,0,0
18,395978,90016,"DP015",1,1,0,0,0,0,204,0,0,0,0,25,0,0,0,0,0,0,0,0,204,102,25,0,0,0,0,51,0,76,0,0,0,0,0,76,0,51,25,25,0,0,0
19,396054,90496,"DP015",1,1,20,0,0,0,357,0,0,0,0,25,0,0,0,0,0,0,0,0,433,25,51,0,0,0,0,25,25,76,0,0,0,0,0,0,0,0,0,0,0,0,0
20,396500,89000,"DP017",0,0,0,0,0,0,1324,0,0,0,0,0,0,0,0,0,0,0,0,51,1426,76,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,789,662,0,0
21,396539,90061,"DP015",1,1,0,0,0,0,25,0,0,0,0,0,0,0,0,51,0,0,0,0,204,25,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,25,0
22,396495,90462,"DP014",1,1,0,0,0,0,3158,25,0,0,0,25,0,0,0,0,0,0,0,51,102,0,0,0,0,0,0,0,127,153,0,25,0,0,0,0,0,0,25,0,127,1044,0
23,396824,86547,"DP032",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5220,0,0,0,0,1910,968,0,0,0,0,0,0,0,0,0,5781,0,0,0,0,0,0,0,0,0,0,0
24,397088,89476,"DP012",1,1,0,0,0,0,306,0,0,0,0,51,0,0,0,0,0,0,0,25,0,382,51,0,0,0,0,76,0,153,0,0,0,0,0,0,0,25,0,229,0,102,0
25,397030,90570,"DP014",1,1,0,25,0,25,331,0,0,0,0,127,0,0,0,0,25,0,0,0,306,0,0,51,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,178,0,51,0
26,397007,91013,"DP013",1,1,0,789,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,25,1299,0,0,0,0,0,51,0,51,0,255,0,0,229,0,0,25,0,0,0,51,0
27,397000,92014,"DP016",1,1,0,102,0,0,127,0,0,0,0,0,0,0,0,0,382,0,0,0,993,764,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,25,0,0,0
28,397502,91500,"DP016",1,1,0,51,0,0,178,0,0,0,0,0,0,0,0,0,51,0,0,0,560,458,25,0,0,0,0,76,0,76,0,0,0,0,0,0,0,0,0,0,25,0,0
29,397487,92026,"DP016",1,1,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,178,25,0,0,0,0,0,0,76,0,25,0,0,25,0,0,76,0,0,0,0,0
30,398036,86089,"DP029",1,1,2,2470,0,0,0,0,0,0,0,0,0,0,0,51,76,0,0,0,2343,1197,0,0,0,0,0,51,0,0,0,738,0,0,0,0,0,0,25,102,0,76,0
31,397880,86957,"DP031",1,1,0,0,0,0,458,0,0,127,0,0,0,0,0,662,51,25,0,25,25,0,25,0,0,0,0,0,0,0,0,25,25,0,0,51,0,51,0,433,25,0,0
32,398047,89032,"DP030",1,1,5,51,0,0,993,0,0,0,0,76,0,0,0,0,0,0,0,0,76,178,25,0,0,0,0,25,0,76,0,25,0,0,0,0,0,0,51,76,0,586,0
33,398000,90500,"DP013",0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,153,0,0,51,51,0,0,178,0,0,0,0,0,0
34,397988,92033,"DP016",1,1,0,0,0,0,76,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1706,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,153,0
35,398500,86489,"DP029",1,1,0,280,0,0,738,0,0,0,0,51,0,0,0,0,382,0,0,51,5959,127,51,0,0,0,0,51,0,0,0,280,0,0,127,0,0,0,357,0,0,229,0
36,398502,86997,"DP029",1,1,1,25,0,0,102,0,0,0,0,25,0,0,0,0,76,0,0,25,3081,0,25,0,0,0,0,51,0,76,0,0,0,0,0,0,0,51,76,25,51,0,0
37,398610,87514,"DP031",0,0,0,0,0,0,229,0,0,25,0,0,0,0,0,0,127,0,0,0,1553,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,25,0,0
38,398617,87994,"DP031",0,0,1,0,0,0,357,0,0,0,0,51,0,0,0,153,637,0,0,25,407,76,0,25,0,0,0,51,0,0,0,0,0,0,0,51,0,25,25,25,0,0,0
39,398500,89000,"DP030",1,0,30,0,0,0,1630,0,0,51,0,76,0,0,0,25,0,0,0,0,255,0,25,229,0,0,127,51,25,153,0,51,0,0,0,25,0,0,0,3565,0,127,0
40,399012,86995,"DP028",0,0,10,0,0,25,0,0,25,25,0,76,0,0,0,0,25,0,0,0,0,76,0,76,0,0,0,0,0,25,0,0,0,0,51,0,0,0,0,637,229,866,0
41,399001,87985,"DP027",0,0,1,0,0,51,255,0,0,51,0,25,0,0,0,0,0,0,0,51,866,0,0,153,0,0,51,76,25,51,0,0,25,0,0,0,229,0,0,0,2165,0,0
42,399471,86058,"DP028",1,1,5,0,0,25,306,0,0,713,0,76,0,891,0,0,0,0,0,25,0,102,0,0,25,0,76,76,0,0,0,0,0,0,0,51,0,611,0,0,0,0,0
43,399517,86960,"DP028",1,1,80,0,0,0,25,0,0,0,0,51,0,0,0,0,0,0,0,0,0,1299,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,1375,0,0,0
44,399490,87532,"DP028",1,1,0,0,0,0,1248,0,0,0,0,25,0,0,0,0,0,0,0,76,357,0,51,0,0,0,0,25,127,102,0,0,0,0,0,0,0,0,0,0,1553,0,0
45,399485,91987,"DP008",1,1,5,25,0,0,51,0,0,0,0,25,25,0,0,5602,0,0,0,0,586,1553,0,0,0,0,0,0,0,0,0,433,0,0,0,25,0,0,0,2496,0,458,0
46,399602,92425,"DP009",1,1,0,127,0,25,25,0,0,0,0,0,0,0,0,0,51,0,0,25,509,586,0,0,0,0,51,0,25,0,0,0,0,0,204,0,0,0,357,306,0,0,0
47,399982,86538,"DP028",1,1,0,76,25,0,25,0,0,0,0,76,0,0,0,0,0,0,0,76,1070,0,0,0,0,0,0,407,0,306,0,25,0,0,0,0,0,0,0,102,0,25,0
48,399982,87077,"DP028",1,1,15,0,0,25,357,0,0,0,0,25,0,0,0,0,0,0,0,0,76,0,0,0,0,0,76,0,0,255,0,0,25,0,0,0,0,0,0,0,280,0,0
49,400186,90994,"DP007",1,1,80,25,0,0,25,0,0,102,0,0,0,0,0,178,0,0,0,25,25,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,662,0,0
50,400003,91537,"DP007",1,1,35,204,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,407,76,0,0,25,0,102,25,0,331,0,0,0,0,0,0,0,0,0,0,0,306,0
51,399891,92010,"DP008",1,1,10,102,0,0,357,0,0,5424,0,0,0,484,0,0,0,51,0,102,25,2012,0,0,0,0,382,0,0,0,0,0,0,25,0,0,0,0,0,7257,0,0,0
52,400521,85510,"DP026",0,0,90,917,0,229,255,0,0,0,0,0,0,0,0,0,0,25,0,0,153,229,0,0,76,0,229,51,25,127,0,0,0,0,0,0,0,25,0,0,102,25,0
53,400456,85992,"DP022",1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,25,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,25,0,0,0,0,0
54,400500,86962,"DP028",0,0,30,0,0,0,76,0,0,0,0,0,0,0,0,0,0,25,0,0,306,25,0,0,0,0,0,0,178,458,0,0,0,0,0,0,0,0,0,25,764,0,0
55,400507,91042,"DP007",1,1,0,51,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,76,0,0,0,0,0,25,0,0,0,153,0,0,0
56,400500,91446,"DP011",1,1,0,204,0,0,51,0,0,76,0,51,0,0,0,0,0,0,0,0,51,127,25,0,0,0,25,0,0,204,0,25,0,25,0,0,0,0,25,0,51,611,0
57,400533,92057,"DP011",1,1,5,25,0,0,102,0,0,178,0,0,0,0,0,51,0,0,0,0,25,25,0,25,0,0,0,0,0,51,0,25,0,0,0,0,0,0,0,3845,0,0,0
58,400500,92500,"DP010",1,1,0,51,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,102,968,1146,25,0,0,0,0,0,0,25,0,0,0,0,0,102,0,0,0,25,0,0,0
59,400993,86016,"DP024",1,1,50,25,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,25,76,127,0,25,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,560,25,917,0
60,400956,86545,"DP022",1,0,50,0,0,51,25,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,1350,0,0
61,401589,85023,"DP021",1,0,50,102,0,433,891,0,0,0,0,0,0,76,0,11306,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,25,178,1273,3514,0
62,401490,85553,"DP021",1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,1579,458,0,0
63,401500,86076,"DP021",1,1,70,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0
64,401486,87000,"DP023",1,0,50,0,0,0,76,0,0,25,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,153,1986,0,0
65,401511,87479,"DP020",0,0,0,0,0,0,204,0,0,306,0,0,0,0,0,0,0,0,0,102,102,204,0,0,0,0,0,102,0,0,0,0,0,127,0,0,153,0,0,25,3514,5348,0
66,402027,84950,"DP021",1,0,95,942,0,229,0,0,0,509,0,127,0,3591,0,51,0,0,0,0,0,16323,25,0,0,3820,0,102,0,0,0,0,0,0,0,102,0,0,51,12503,0,0,0
67,401970,85499,"DP021",1,1,20,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,280,0,0,0,0,0,0,0,0,0,255,229,0,0
68,402043,86021,"DP021",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,51,0,0,0,0,0,662,0,0,0,0,0,0,0,0,0,0,866,25,0
69,402037,86619,"DP020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,5551,0,0
70,401985,86995,"DP020",0,0,0,0,0,0,0,0,0,25,0,127,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
71,402007,90026,"DP004",0,0,35,0,1095,51,458,1350,0,127,535,76,25,0,0,0,25,0,1299,0,204,0,0,0,840,0,0,25,0,0,127,0,0,0,0,51,0,0,0,1019,5220,458,0
72,402499,85901,"DP021",0,0,10,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,25,102,0,0,0,0,0,127,0,51,0,25,0,0
73,402500,90500,"DP004",0,0,30,0,0,51,153,0,0,2470,127,0,0,0,0,0,25,0,0,0,229,0,0,0,0,0,0,0,25,0,229,0,0,0,0,0,0,0,0,0,0,4253,0
74,402988,85919,"DP020",1,1,10,0,0,0,2292,0,0,153,0,0,0,0,0,25,0,0,0,51,509,51,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,10160,407,0,0
75,403008,90506,"DP004",0,0,0,25,0,25,4176,0,0,0,0,51,1808,0,0,25,1120,25,0,0,2215,306,0,0,25,0,0,76,0,0,0,0,0,586,0,0,51,51,611,0,280,0,0
76,403370,86360,"DP020",0,0,1,0,0,0,25,0,76,0,0,25,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,25,0,0,76,153,0,0,0,0,25,25,535,0,0
77,403498,90021,"DP004",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,25,25,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,51,25,1171,0,0
78,404505,87958,"DP001",0,0,1,0,0,25,0,0,127,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,25,51,0,0,0,0,0,1171,0,0,0,0,0,942
79,404650,88462,"DP001",0,0,0,0,0,178,0,0,0,0,0,51,0,0,0,0,0,0,0,25,306,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,1273,0,0,25,0,0,1859
80,404615,88966,"DP001",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,2165,204,0,25
