"","Site","Sediment1","Sediment2","AlgaeCover","HedisteDensity","HedisteBiomass","HedistePresent","CerastodermaDensity","CerastodermaBiomass","CerastodermaPresent"
"1",1,1,1,1,1171.3808,7.79528181073708,1,0,0,0
"2",2,1,1,0,891.268,8.27281858088771,1,0,0,0
"3",3,1,1,0,1018.592,6.41292736616072,1,0,0,0
"4",4,1,1,0,1044.0568,11.7084228923386,1,0,0,0
"5",5,1,1,0,814.8736,2.36846237565423,1,0,0,0
"6",6,1,1,0,1145.916,4.55713047034209,1,50.9296,0.000974167232573047,1
"7",7,1,1,0,789.4088,7.04820583263855,1,25.4648,8.89480405650592e-05,1
"8",8,1,1,2,1273.24,8.83882217422751,1,0,0,0
"9",9,1,1,0,331.0424,2.86056845416165,1,0,0,0
"10",10,1,1,0,1426.0288,1.73738087299992,1,50.9296,0.00880978392465114,1
"11",11,1,1,2,2368.2264,4.77718116834262,1,50.9296,0.000974167232573047,1
"12",12,1,1,0,254.648,0.779217338256699,1,0,0,0
"13",13,1,1,10,1476.9584,8.12133756619326,1,25.4648,1.28933193557981,1
"14",14,1,1,1,2291.832,8.75102003999563,1,50.9296,0.0885610101144682,1
"15",15,1,1,90,2852.0576,34.9039159376062,1,50.9296,3.34696777421224,1
"16",16,1,1,1,687.5496,5.59255251849743,1,0,0,0
"17",17,1,1,0,1833.4656,9.31477838076725,1,50.9296,4.4128618055642,1
"18",18,1,1,0,203.7184,0.818478224440116,1,152.7888,11.149486013567,1
"19",19,1,1,20,432.9016,4.91296846724732,1,25.4648,0,1
"20",20,0,0,0,1426.0288,9.524879268518,1,0,0,0
"21",21,1,1,0,203.7184,0.218138709033534,1,0,0,0
"22",22,1,1,0,101.8592,1.75450541201436,1,25.4648,10.6166865533896,1
"23",23,1,1,0,1909.86,8.96301388314651,1,0,0,0
"24",24,1,1,0,0,0,0,50.9296,0.000885219192007988,1
"25",25,1,1,0,305.5776,0.717147410315237,1,127.324,0.0103618071826974,1
"26",26,1,1,0,25.4648,0.0178889552749955,1,25.4648,8.89480405650592e-05,1
"27",27,1,1,0,993.1272,3.61072222878064,1,0,0,0
"28",28,1,1,0,560.2256,3.04257550854576,1,0,0.000885219192007988,0
"29",29,1,1,0,25.4648,0.548659767445038,1,0,0,0
"30",30,1,1,2,2342.7616,7.97915446008215,1,0,0,0
"31",31,1,1,0,25.4648,0.0122844472890265,1,50.9296,5.49536428761364,1
"32",32,1,1,5,76.3944,0.00504904671340341,1,76.3944,10.6168644494707,1
"33",33,0,0,0,0,0,0,0,0,0
"34",34,1,1,0,0,0,0,0,0,0
"35",35,1,1,0,5958.7632,7.29304592843882,1,50.9296,0.00106311527313811,1
"36",36,1,1,1,3081.2408,6.24302982518118,1,25.4648,0.000885219192007988,1
"37",37,0,0,0,1553.3528,7.05704086429394,1,0,0,0
"38",38,0,0,1,407.4368,1.57085718628505,1,50.9296,3.9605129336788,1
"39",39,1,0,30,254.648,0.959745085681619,1,76.3944,32.1320132040542,1
"40",40,0,0,10,0,0,0,76.3944,14.2800644283706,1
"41",41,0,0,1,865.8032,0.991937122809445,1,50.9296,4.36376286845297,1
"42",42,1,1,5,0,0,0,76.3944,0.194680223071338,1
"43",43,1,1,80,0,0,0,127.324,8.73990010743835,1
"44",44,1,1,0,356.5072,0.27288312799191,1,25.4648,0.000885219192007988,1
"45",45,1,1,5,585.6904,5.00130143664252,1,25.4648,1.76840401058299,1
"46",46,1,1,0,509.296,0.249186460855966,1,25.4648,2.1492817325934,1
"47",47,1,1,0,1069.5216,8.91308009677758,1,101.8592,0.00220048421744083,1
"48",48,1,1,15,76.3944,0.177814836686691,1,25.4648,10.6166865533896,1
"49",49,1,1,80,25.4648,0.0489551707932202,1,0,0,0
"50",50,1,1,35,407.4368,1.14334583957625,1,0,0,0
"51",51,1,1,10,25.4648,0.00401065332563081,1,0,0,0
"52",52,0,0,90,152.7888,0.120409933012117,1,0,0,0
"53",53,1,1,90,280.1128,5.48734312520075,1,0,0,0
"54",54,0,0,30,305.5776,0.573228662023091,1,0,0,0
"55",55,1,1,0,0,0,0,76.3944,14.5206062192554,1
"56",56,1,1,0,50.9296,0.0152769583708375,1,50.9296,7.81717047349274,1
"57",57,1,1,5,25.4648,0.00401065332563081,1,0,0,0
"58",58,1,1,0,967.6624,5.17299977725496,1,50.9296,5.41344334172943,1
"59",59,1,1,50,76.3944,0.132870319219102,1,0,0,0
"60",60,1,0,50,25.4648,0.00401065332563081,1,25.4648,11.6875088431053,1
"61",61,1,0,50,0,0,0,25.4648,4.94432788733825,1
"62",62,1,1,40,25.4648,0.348566289751517,1,0,0,0
"63",63,1,1,70,76.3944,0.160994800136203,1,25.4648,0,1
"64",64,1,0,50,152.7888,1.0261801945752,1,0,0,0
"65",65,0,0,0,101.8592,1.39281426720998,1,0,0,0
"66",66,1,0,95,0,0,0,127.324,3.22826540409587,1
"67",67,1,1,20,0,0,0,0,0,0
"68",68,0,0,5,25.4648,0.446452820753695,1,0,0,0
"69",69,1,0,0,0,0,0,0,0,0
"70",70,0,0,0,0,0,0,127.324,0.00375042919611598,1
"71",71,0,0,35,203.7184,0.0408639951927103,1,76.3944,25.6815628310059,1
"72",72,0,0,10,0,0,0,25.4648,6.2659330248485,1
"73",73,0,0,30,229.1832,0.227597101119455,1,0,0,0
"74",74,1,1,10,509.296,1.2024562332712,1,0,0,0
"75",75,0,0,0,2215.4376,5.06680273591205,1,50.9296,0.00427985622586373,1
"76",76,0,0,1,101.8592,0.0284119130521464,1,25.4648,0.251972495248471,1
"77",77,1,0,0,127.324,0.0218996086006264,1,0,0,0
"78",78,0,0,1,0,0,0,0,0,0
"79",79,0,0,0,305.5776,1.32081421251369,1,50.9296,2.9057895785311,1
"80",80,0,0,2,0,0,0,0,0,0
