"","Wt","Wing","Sex","Month"
"449",20,59.5,"Male","7"
"450",20,59,"Male","7"
"451",20,58,"Male","7"
"452",20,57.5,"Male","7"
"453",20,59,"Male","6"
"454",20,59.5,"Male","7"
"455",20,57.5,"Male","7"
"456",20,55.5,"Male","7"
"457",20,57,"Male","6"
"458",20,58,"Male","6"
"459",20,60,"Male","6"
"460",20,60,"Male","6"
"461",20,59,"Male","6"
"462",20,58,"Male","7"
"463",20,57,"Male","6"
"464",20,60,"Male","5"
"465",20,58,"Male","6"
"466",20,58.5,"Male","6"
"467",20,58,"Male","6"
"468",20,59.5,"Male","7"
"469",20,59,"Male","7"
"470",20,57,"Male","7"
"471",20,58.5,"Male","8"
"472",20,59,"Male","8"
"473",20,60,"Male","7"
"474",20,59.5,"Male","6"
"475",20,60,"Male","6"
"476",20,54,"Female","6"
"477",20,56,"Female","8"
"478",20,55.5,"Female","6"
"479",20.1,58,"Male","6"
"480",20.1,59,"Male","6"
"481",20.1,58,"Male","7"
"482",20.1,57,"Male","6"
"483",20.1,60.5,"Male","6"
"484",20.1,58,"Male","7"
"485",20.1,60,"Male","6"
"486",20.1,59,"Male","7"
"487",20.1,59,"Male","7"
"488",20.1,61,"Male","6"
"489",20.1,57,"Male","7"
"490",20.1,59.5,"Male","6"
"491",20.1,59.5,"Male","7"
"492",20.1,57,"Male","7"
"493",20.1,57.5,"Male","6"
"494",20.1,59,"Male","6"
"495",20.1,59,"Male","6"
"496",20.1,58,"Male","7"
"497",20.1,57,"Male","7"
"498",20.1,57.5,"Female","6"
"499",20.1,55,"Female","6"
"500",20.2,60,"Male","6"
"501",20.2,59,"Male","6"
"502",20.2,57,"Male","6"
"503",20.2,58,"Male","6"
"504",20.2,57,"Male","6"
"505",20.2,60,"Male","6"
"506",20.2,60,"Male","6"
"507",20.2,60,"Male","6"
"508",20.2,59,"Male","7"
"509",20.2,57,"Male","6"
"510",20.2,57,"Male","7"
"511",20.2,60,"Male","6"
"512",20.2,60,"Male","6"
"513",20.2,59,"Male","7"
"514",20.2,57,"Male","7"
"515",20.2,58,"Male","7"
"516",20.2,59,"Male","6"
"517",20.2,57,"Male","6"
"518",20.2,55,"Male","7"
"519",20.2,58.5,"Male","7"
"520",20.2,58,"Male","7"
"521",20.2,58,"Male","6"
"522",20.2,58,"Male","6"
"523",20.2,60,"Male","6"
"524",20.2,59.5,"Male","6"
"525",20.2,58,"Male","6"
"526",20.2,58,"Male","6"
"527",20.2,60,"Male","6"
"528",20.2,59.5,"Male","6"
"529",20.2,57,"Male","6"
"530",20.2,59,"Male","7"
"531",20.2,60,"Male","6"
"532",20.2,58,"Male","7"
"533",20.2,58.5,"Male","8"
"534",20.2,59,"Male","6"
"535",20.2,54,"Female","7"
"536",20.2,54,"Female","6"
"537",20.2,57,"Female","7"
"538",20.2,55.5,"Female","6"
"539",20.2,55,"Female","7"
"540",20.3,59,"Male","5"
"541",20.3,59,"Male","6"
"542",20.3,59.5,"Male","6"
"543",20.3,60,"Male","6"
"544",20.3,59.5,"Male","6"
"545",20.3,61,"Male","6"
"546",20.3,58,"Male","6"
"547",20.3,58,"Male","6"
"548",20.3,58,"Male","6"
"549",20.3,59,"Male","7"
"550",20.3,58.5,"Male","7"
"551",20.3,58,"Male","6"
"552",20.3,58,"Male","6"
"553",20.3,59,"Male","6"
"554",20.3,59.5,"Male","6"
"555",20.3,59.5,"Male","7"
"556",20.3,58,"Male","8"
"557",20.3,55,"Female","6"
"558",20.4,59.5,"Male","6"
"559",20.4,58,"Male","6"
"560",20.4,58,"Male","6"
"561",20.4,59,"Male","6"
"562",20.4,59.5,"Male","6"
"563",20.4,58,"Male","6"
"564",20.4,58,"Male","7"
"565",20.4,59,"Male","6"
"566",20.4,60.5,"Male","6"
"567",20.4,60.5,"Male","6"
"568",20.4,58.5,"Male","6"
"569",20.4,59,"Male","7"
"570",20.4,60,"Male","6"
"571",20.4,57,"Male","7"
"572",20.4,58,"Male","6"
"573",20.4,59,"Male","7"
"574",20.4,59,"Male","6"
"575",20.4,59,"Male","6"
"576",20.4,56.5,"Male","6"
"577",20.4,59,"Male","7"
"578",20.4,56,"Female","6"
"579",20.4,56,"Female","6"
"580",20.4,58,"Female","9"
"581",20.5,58,"Male","6"
"582",20.5,57.5,"Male","6"
"583",20.5,55.5,"Male","6"
"584",20.5,57,"Male","6"
"585",20.5,58,"Male","6"
"586",20.5,57,"Male","6"
"587",20.5,60,"Male","6"
"588",20.5,59,"Male","7"
"589",20.5,58,"Male","6"
"590",20.5,57,"Male","7"
"591",20.5,58,"Male","6"
"592",20.5,58.5,"Male","6"
"593",20.5,59,"Male","6"
"594",20.5,58,"Male","6"
"595",20.5,58,"Male","7"
"596",20.5,58,"Male","6"
"597",20.5,56.5,"Male","7"
"598",20.5,60,"Male","7"
"599",20.5,58,"Male","7"
"600",20.5,59,"Male","7"
"601",20.5,59,"Male","6"
"602",20.5,59,"Male","7"
"603",20.5,59,"Male","6"
"604",20.5,57,"Male","6"
"605",20.5,60,"Male","6"
"606",20.5,60.5,"Male","6"
"607",20.5,57,"Male","6"
"608",20.5,58,"Male","6"
"609",20.5,57,"Male","6"
"610",20.5,58,"Male","6"
"611",20.5,59.5,"Male","6"
"612",20.5,57,"Male","6"
"613",20.5,59,"Male","6"
"614",20.5,57,"Male","7"
"615",20.5,59,"Male","6"
"616",20.5,58,"Male","6"
"617",20.5,56.5,"Male","7"
"618",20.5,57,"Male","6"
"619",20.5,59,"Male","8"
"620",20.5,58.5,"Male","7"
"621",20.5,59,"Male","6"
"622",20.5,58,"Male","6"
"623",20.5,56,"Male","6"
"624",20.5,59,"Male","7"
"625",20.5,58.5,"Male","7"
"626",20.5,57,"Male","7"
"627",20.5,58,"Male","7"
"628",20.5,58,"Male","8"
"629",20.5,59,"Male","6"
"630",20.5,59,"Male","7"
"631",20.5,59.5,"Male","6"
"632",20.5,54.5,"Female","6"
"633",20.5,54,"Female","7"
"634",20.5,53,"Female","7"
"635",20.5,56,"Female","5"
"636",20.5,59,"Female","6"
"637",20.6,60,"Male","6"
"638",20.6,61,"Male","6"
"639",20.6,59,"Male","6"
"640",20.6,59,"Male","7"
"641",20.6,60.5,"Male","6"
"642",20.6,58.5,"Male","6"
"643",20.6,56,"Male","6"
"644",20.6,59,"Male","6"
"645",20.6,59,"Male","7"
"646",20.6,59.5,"Male","7"
"647",20.6,57.5,"Male","7"
"648",20.6,56,"Male","6"
"649",20.6,55,"Male","6"
"650",20.6,59,"Male","7"
"651",20.6,56.5,"Male","6"
"652",20.6,59,"Male","6"
"653",20.6,58,"Male","6"
"654",20.6,61.5,"Male","7"
"655",20.6,58,"Male","6"
"656",20.6,61,"Male","6"
"657",20.6,60,"Male","6"
"658",20.6,58,"Male","7"
"659",20.6,58,"Male","6"
"660",20.6,55.5,"Female","6"
"661",20.7,57,"Male","6"
"662",20.7,59,"Male","5"
"663",20.7,58,"Male","6"
"664",20.7,59.5,"Male","6"
"665",20.7,60,"Male","6"
"666",20.7,59,"Male","6"
"667",20.7,59,"Male","8"
"668",20.7,60,"Male","7"
"669",20.7,58,"Male","6"
"670",20.7,57,"Male","6"
"671",20.7,59,"Male","7"
"672",20.7,59,"Male","6"
"673",20.7,56.5,"Male","7"
"674",20.7,60.5,"Male","6"
"675",20.7,57,"Male","8"
"676",20.7,57,"Male","7"
"677",20.7,60,"Male","6"
"678",20.7,61,"Male","6"
"679",20.7,57.5,"Male","7"
"680",20.7,60,"Male","6"
"681",20.7,54,"Female","7"
"682",20.7,55,"Female","7"
"683",20.7,56,"Female","6"
"684",20.8,58.5,"Male","6"
"685",20.8,57,"Male","6"
"686",20.8,58,"Male","6"
"687",20.8,59,"Male","6"
"688",20.8,58,"Male","6"
"689",20.8,61.5,"Male","6"
"690",20.8,59,"Male","7"
"691",20.8,59,"Male","7"
"692",20.8,58.5,"Male","7"
"693",20.8,60.5,"Male","6"
"694",20.8,58.5,"Male","6"
"695",20.8,60,"Male","8"
"696",20.8,59,"Male","7"
"697",20.8,59,"Male","7"
"698",20.8,59,"Male","8"
"699",20.8,58,"Male","6"
"700",20.8,58.5,"Male","7"
"701",20.8,57.5,"Male","6"
"702",20.8,58,"Male","6"
"703",20.8,56,"Male","7"
"704",20.8,58,"Male","7"
"705",20.8,58,"Male","6"
"706",20.8,58.5,"Male","6"
"707",20.8,55,"Female","7"
"708",20.8,55,"Female","6"
"709",20.8,55,"Female","8"
"710",20.9,59.5,"Male","6"
"711",20.9,59,"Male","6"
"712",20.9,59.5,"Male","6"
"713",20.9,60.5,"Male","6"
"714",20.9,57.5,"Male","8"
"715",20.9,59.5,"Male","7"
"716",20.9,59.5,"Male","7"
"717",20.9,59.5,"Male","6"
"718",20.9,60.5,"Male","6"
"719",20.9,59,"Male","8"
"720",20.9,54,"Female","5"
"721",21,58,"Male","6"
"722",21,59,"Male","6"
"723",21,57.5,"Male","8"
"724",21,59,"Male","7"
"725",21,60.5,"Male","6"
"726",21,58.5,"Male","6"
"727",21,59,"Male","6"
"728",21,58,"Male","6"
"729",21,59.5,"Male","6"
"730",21,57,"Male","6"
"731",21,58.5,"Male","6"
"732",21,57,"Male","6"
"733",21,61.5,"Male","6"
"734",21,61,"Male","6"
"735",21,58.5,"Male","7"
"736",21,57.5,"Male","6"
"737",21,61.5,"Male","6"
"738",21,59,"Male","5"
"739",21,59.5,"Male","6"
"740",21,57.5,"Male","6"
"741",21,61,"Male","7"
"742",21,59,"Male","6"
"743",21,60,"Male","7"
"744",21,59,"Male","6"
"745",21,58,"Male","7"
"746",21,59,"Male","7"
"747",21,57,"Male","7"
"748",21,59.5,"Male","6"
"749",21,59,"Male","7"
"750",21,55.5,"Female","6"
"751",21,55,"Female","6"
"752",21.1,57,"Male","7"
"753",21.1,59,"Male","6"
"754",21.1,59,"Male","7"
"755",21.1,61,"Male","6"
"756",21.1,59,"Male","7"
"757",21.1,59.5,"Male","7"
"758",21.1,61,"Male","6"
"759",21.2,60,"Male","6"
"760",21.2,60.5,"Male","7"
"761",21.2,59.5,"Male","6"
"762",21.2,59,"Male","6"
"763",21.2,58.5,"Male","7"
"764",21.2,57,"Male","6"
"765",21.2,56,"Male","7"
"766",21.2,60,"Male","7"
"767",21.2,59,"Male","6"
"768",21.2,59,"Male","6"
"769",21.2,60,"Male","6"
"770",21.2,59,"Male","6"
"771",21.2,59,"Male","6"
"772",21.2,57,"Male","7"
"773",21.2,59,"Male","7"
"774",21.2,59,"Male","5"
"775",21.2,60,"Male","6"
"776",21.2,60,"Male","6"
"777",21.2,61,"Male","7"
"778",21.2,60,"Male","7"
"779",21.2,59.5,"Male","7"
"780",21.2,58.5,"Male","7"
"781",21.2,59,"Male","6"
"782",21.2,60,"Male","6"
"783",21.2,58.5,"Female","6"
"784",21.2,56,"Female","6"
"785",21.2,57,"Female","6"
"786",21.2,56.5,"Female","6"
"787",21.2,55,"Female","6"
"788",21.3,59.5,"Male","6"
"789",21.3,59.5,"Male","6"
"790",21.3,58.5,"Male","6"
"791",21.3,58.5,"Male","7"
"792",21.3,58,"Male","8"
"793",21.3,61,"Male","6"
"794",21.3,59,"Male","6"
"795",21.3,58,"Male","6"
"796",21.3,59,"Male","7"
"797",21.3,61,"Male","6"
"798",21.3,60,"Male","8"
"799",21.3,60,"Male","6"
"800",21.3,59.5,"Male","6"
"801",21.3,56,"Female","5"
"802",21.3,55.5,"Female","6"
"803",21.4,59,"Male","5"
"804",21.4,60,"Male","6"
"805",21.4,59.5,"Male","6"
"806",21.4,61,"Male","6"
"807",21.4,59,"Male","7"
"808",21.4,59,"Male","7"
"809",21.4,58,"Male","7"
"810",21.4,59,"Male","6"
"811",21.4,60,"Male","7"
"812",21.5,56.5,"Male","6"
"813",21.5,60.5,"Male","6"
"814",21.5,59.5,"Male","6"
"815",21.5,59.5,"Male","6"
"816",21.5,57,"Male","7"
"817",21.5,57.5,"Male","6"
"818",21.5,59.5,"Male","7"
"819",21.5,58.5,"Male","7"
"820",21.5,57.5,"Male","6"
"821",21.5,61,"Male","6"
"822",21.5,59,"Male","7"
"823",21.5,59.5,"Male","7"
"824",21.5,61,"Male","7"
"825",21.5,57.5,"Male","7"
"826",21.5,59.5,"Male","6"
"827",21.5,57.5,"Male","6"
"828",21.5,57,"Male","6"
"829",21.5,58,"Male","6"
"830",21.5,58,"Male","6"
"831",21.5,61,"Male","6"
"832",21.5,55.5,"Female","7"
"833",21.5,56.5,"Female","6"
"834",21.5,55,"Female","7"
"835",21.5,55,"Female","6"
"836",21.5,56,"Female","6"
"837",21.6,55.5,"Male","5"
"838",21.6,60.5,"Male","6"
"839",21.6,59.5,"Male","8"
"840",21.6,58,"Male","6"
"841",21.6,60,"Male","6"
"842",21.6,58,"Male","7"
"843",21.6,54.5,"Female","7"
"844",21.6,56,"Female","5"
"845",21.7,62,"Male","6"
"846",21.7,60,"Male","6"
"847",21.7,59,"Male","6"
"848",21.7,57,"Male","8"
"849",21.7,61,"Male","7"
"850",21.7,59.5,"Male","6"
"851",21.7,57,"Male","7"
"852",21.7,59,"Male","6"
"853",21.7,61,"Male","8"
"854",21.7,58,"Female","6"
"855",21.7,56.5,"Female","6"
"856",21.8,61,"Male","6"
"857",21.8,57,"Male","6"
"858",21.8,58,"Male","6"
"859",21.8,55,"Male","6"
"860",21.8,59,"Male","6"
"861",21.8,59.5,"Male","7"
"862",21.8,58.5,"Male","6"
"863",21.8,54.5,"Female","7"
"864",21.9,60,"Male","7"
"865",21.9,59,"Male","6"
"866",21.9,58,"Male","5"
"867",21.9,59,"Male","6"
"868",21.9,59.5,"Male","7"
"869",21.9,56,"Female","6"
"870",22,59.5,"Male","6"
"871",22,59,"Male","7"
"872",22,59,"Male","6"
"873",22,59,"Male","6"
"874",22,60,"Male","6"
"875",22,60,"Male","6"
"876",22,59,"Male","8"
"877",22,60,"Male","6"
"878",22,55.5,"Female","6"
"879",22,54,"Female","6"
"880",22,53.5,"Female","6"
"881",22,57,"Female","6"
"882",22.1,59.5,"Male","6"
"883",22.1,58,"Male","7"
"884",22.1,58.5,"Male","6"
"885",22.1,58.5,"Male","6"
"886",22.2,59,"Male","6"
"887",22.2,60,"Male","6"
"888",22.2,58,"Male","6"
"889",22.2,62,"Male","6"
"890",22.2,58,"Male","6"
"891",22.2,60,"Male","6"
"892",22.2,60,"Male","6"
"893",22.4,59.5,"Male","6"
"894",22.4,56,"Female","6"
"895",22.5,60,"Male","6"
"896",22.5,58,"Male","6"
"897",22.6,58,"Male","6"
"898",22.8,59.5,"Male","5"
"899",23,57,"Male","7"
"900",23.2,55.5,"Female","7"
"901",23.2,57,"Female","6"
"902",23.5,56.5,"Female","7"
"903",24.5,59,"Male","6"
"904",25.4,54.5,"Female","6"
"905",25.5,58,"Male","6"
